AXP	American Express Co	156.88	+0.49	+0.31	154.02	157.505	156.88
AMGN	Amgen Inc	251.3	+1.95	+0.78	246.96	251.48	251.3
AAPL	Apple Inc	129.74	+1.42	+1.11	127.13	129.75	129.52
BA	Boeing Co	229.81	+1.63	+0.71	226.545	231.165	229.81
CAT	Caterpillar Inc	237.07	-0.81	-0.341	236	240.983	237.07
CSCO	Cisco Systems Inc	52.44	+1.31	+2.56	50.95	52.71	52.44
CVX	Chevron Corp	109.02	+0.06	+0.06	107.42	109.13	109.02
GS	Goldman Sachs Group Inc	365.97	+8.35	+2.33	356.5	366.3	365.97
HD	Home Depot Inc	337.58	+5.53	+1.67	333.23	337.81	337.58
HON	Honeywell International Inc	228.66	+2.47	+1.09	225.45	228.82	228.66
IBM	International Business Machines Corp	148.42	+1.56	+1.07	145.18	148.515	146.78
INTC	Intel Corp	57.19	+0.688	+1.22	56.245	57.25	57.19
JNJ	Johnson & Johnson	167.74	+0.67	+0.4	166.24	167.885	167.74
KO	Coca-Cola Co	54.54	+0.54	+1	54.05	54.605	54.54
JPM	JPMorgan Chase & Co	160.69	+3.17	+2.01	157.16	160.825	160.69
MCD	McDonald’s Corp	234.86	-0.18	-0.077	233.17	235.65	234.86
MMM	3M Co	202.41	+0.97	+0.48	200.46	202.51	202.41
MRK	Merck & Co Inc	77.78	+0.08	+0.1	76.685	77.855	77.78
MSFT	Microsoft Corp	249.73	+3.26	+1.32	244.69	249.86	249.73
NKE	Nike Inc	133.49	+1.28	+0.97	131.94	133.84	133.49
PG	Procter & Gamble Co	135.14	+1.68	+1.26	133.92	135.366	135.14
TRV	Travelers Companies Inc	160.5	+1.21	+0.76	159.16	160.85	160.5
UNH	UnitedHealth Group Inc	414.97	+2.47	+0.6	412.56	416.85	414.97
CRM	Salesforce.Com Inc	218.05	+2.65	+1.23	213.5	218.28	218.05
VZ	Verizon Communications Inc	59.29	+0.6	+1.02	58.685	59.37	59.29
V	Visa Inc	231.32	+2.11	+0.92	228.66	231.58	231.32
WBA	Walgreens Boots Alliance Inc	54.46	-0.01	-0.018	53.37	54.556	54.46
WMT	Walmart Inc	141.05	+1	+0.71	139.45	141.357	141.05
DIS	Walt Disney Co	181.79	+0.28	+0.15	179.81	182.99	181.79
